name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
santiago de chile,2017-11-22,32,12,22.5,29.9,12,22,4.6,34.55,0,,0,,,,,31.7,201.9,1012.1,0,10,,,0,,2017-11-22T06:28:10,2017-11-22T20:29:51,0.07,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-23,29.7,14,21.6,28.2,14,21.3,6,38.01,0,,0,,,,,33.5,192.1,1011.5,0,9.7,,,0,,2017-11-23T06:27:47,2017-11-23T20:30:47,0.11,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-24,24,10,16.9,24,10,16.9,6.1,51.79,0,,0,,,,,27.7,179,1018,0,9.7,,,0,,2017-11-24T06:27:26,2017-11-24T20:31:42,0.14,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-25,31,9.7,20.3,29.1,9.7,20.1,7.1,48.1,0,,0,,,,,25.9,179.1,1015.2,0,10,,,0,,2017-11-25T06:27:07,2017-11-25T20:32:37,0.19,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-26,28.2,13,20.8,27.2,13,20.7,8.2,46.26,0,,0,,,,,29.5,188.2,1012.8,0,9.9,,,0,,2017-11-26T06:26:50,2017-11-26T20:33:32,0.24,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-27,29,11,19.4,28.3,11,19.5,10.6,59.85,0,,0,,,,,27.7,183.1,1011.5,2.6,9.8,,,0,,2017-11-27T06:26:35,2017-11-27T20:34:26,0.29,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-28,24,11,16.4,24,11,16.4,10.7,70.61,0,,0,,,,,27.7,169.7,1014.2,15.3,8.5,,,0,,2017-11-28T06:26:22,2017-11-28T20:35:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-29,24,11.8,17.1,24,11.8,17.3,9.9,65.63,0,,0,,,,,25.9,184.2,1017.3,28.4,9,,,0,,2017-11-29T06:26:10,2017-11-29T20:36:13,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-11-30,28,12.3,19.8,27.2,12.3,19.8,9.5,54.34,0,,0,,,,,33.5,177.4,1012.1,14.7,9.7,,,0,,2017-11-30T06:26:00,2017-11-30T20:37:06,0.43,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-01,26,13,18.8,26,13,18.8,9.5,56.4,0,,0,,,,,25.9,183,1011.5,19.2,9.9,,,0,,2017-12-01T06:25:53,2017-12-01T20:37:58,0.47,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-02,21,11,15.7,21,11,15.7,10.3,72.01,0,,0,,,,,27.7,172.9,1015,19.4,8.9,,,0,,2017-12-02T06:25:47,2017-12-02T20:38:49,0.49,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-03,26,13,18.5,26,13,18.7,10,60.28,0,,0,,,,,22.3,179.1,1015.5,45.3,10,,,0,,2017-12-03T06:25:43,2017-12-03T20:39:40,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-04,28,12,19.4,27.3,12,19.5,10,57.33,0,,0,,,,,27.7,180,1011.6,12.3,10,,,0,,2017-12-04T06:25:41,2017-12-04T20:40:30,0.51,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-05,27,11,18.1,26.8,11,18.1,11.5,69.11,0,,0,,,,,25.9,179.7,1013.5,21.7,8.3,,,0,,2017-12-05T06:25:41,2017-12-05T20:41:19,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-06,28,11,18.4,27.1,11,18.4,10.3,65.37,0,,0,,,,,31.7,170.2,1014.7,25,7.6,,,0,,2017-12-06T06:25:42,2017-12-06T20:42:07,0.56,Partially cloudy,Clearing in the afternoon.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-07,29,10,19.6,28,10,19.6,10.8,61.2,0,,0,,,,,25.9,183.1,1013.2,3.2,9.2,,,0,,2017-12-07T06:25:46,2017-12-07T20:42:55,0.61,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-08,26,12,18.6,26,12,18.8,10.8,64.75,0,,0,,,,,27.7,175.7,1014.9,22.8,8.2,,,0,,2017-12-08T06:25:52,2017-12-08T20:43:41,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-09,31,11,21.7,29.1,11,21.4,7.9,46.56,0,,0,,,,,29.5,183.3,1014.5,0.1,10,,,0,,2017-12-09T06:25:59,2017-12-09T20:44:26,0.71,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-10,34,14,23.1,32,14,22.6,9.8,47.09,0,,0,,,,,37.1,190.6,1011.7,1.8,9.4,,,0,,2017-12-10T06:26:08,2017-12-10T20:45:11,0.77,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-11,27,13,18.2,26.8,13,18.3,12.3,71.02,0,,0,,,,,25.9,176.8,1013.9,9.7,8.8,,,0,,2017-12-11T06:26:19,2017-12-11T20:45:54,0.82,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-12,24,13,17.1,24,13,17.2,11.2,69.97,0,,0,,,,,25.9,200.3,1016.8,41.7,10,,,0,,2017-12-12T06:26:32,2017-12-12T20:46:36,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-13,27.1,13.9,19.9,26.8,13.9,20,10.7,59.22,0,,0,,,,,25.9,180.6,1017.9,33.6,10,,,0,,2017-12-13T06:26:47,2017-12-13T20:47:17,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-14,33,12,22.9,30.9,12,22.5,9.1,48.02,0,,0,,,,,25.9,168.6,1014.1,0,9.7,,,0,,2017-12-14T06:27:03,2017-12-14T20:47:57,0.94,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-15,35,15,25.2,32.7,15,24.5,8,36.16,0,,0,,,,,35.3,165.4,1009.7,0,9.9,,,0,,2017-12-15T06:27:22,2017-12-15T20:48:35,0.97,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-16,28.1,14,20.6,27.3,14,20.6,8.6,47.72,0,,0,,,,53.6,35.3,180.6,1012.1,10,9.9,,,0,,2017-12-16T06:27:42,2017-12-16T20:49:13,0.99,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-17,32,12,21.4,30.2,12,21.2,9,48.81,0,,0,,,,,24.1,192,1012.4,3.3,9.8,,,0,,2017-12-17T06:28:03,2017-12-17T20:49:49,1,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-18,29,14,22.1,27.6,14,21.9,7.9,42.27,0,,0,,,,,25.9,193.4,1011.9,18.3,10,,,0,,2017-12-18T06:28:27,2017-12-18T20:50:23,0,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-19,32,14.3,24.2,30,14.3,23.9,8,38.07,0,,0,,,,,29.5,186.8,1013.7,0,9.8,,,0,,2017-12-19T06:28:52,2017-12-19T20:50:56,0.01,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-20,30,15,23.3,28.6,15,22.9,7.6,38.46,0,,0,,,,,31.7,188.1,1011.9,0,9.9,,,0,,2017-12-20T06:29:19,2017-12-20T20:51:28,0.02,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-21,32,14,23.6,30.4,14,23.3,9,42.28,0,,0,,,,,29.5,191.9,,0,9.9,,,0,,2017-12-21T06:29:47,2017-12-21T20:51:58,0.05,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-12-22,30,14,23,28.2,14,22.5,5.7,35.8,0,,0,,,,,29.5,185,,0,10,,,0,,2017-12-22T06:30:18,2017-12-22T20:52:26,0.08,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-12-23,30,15,22.9,28.3,15,22.5,5.6,34.62,0,,0,,,,,31.7,175.3,,0,9.7,,,0,,2017-12-23T06:30:49,2017-12-23T20:52:53,0.12,Clear,Clear conditions throughout the day.,wind,"SCEL,85574099999"
santiago de chile,2017-12-24,32,13,22.8,29.8,13,22.2,3.8,32.8,0,,0,,,,,27.7,160.5,,0,9.8,,,0,,2017-12-24T06:31:22,2017-12-24T20:53:18,0.16,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-12-25,32,14,23.2,30,14,22.7,6.4,36.13,0,,0,,,,,31.7,171.4,1013,0,9.3,,,0,,2017-12-25T06:31:57,2017-12-25T20:53:42,0.21,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-26,30,13,22,28.8,13,21.8,10,50.6,0,,0,,,,,27.7,184.8,,0,10,,,0,,2017-12-26T06:32:33,2017-12-26T20:54:04,0.26,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-12-27,31,15,23.5,29.3,15,23.1,9.1,42.81,0,,0,,,,,27.7,199.4,,0,9.8,,,0,,2017-12-27T06:33:11,2017-12-27T20:54:24,0.31,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85574099999"
santiago de chile,2017-12-28,32,15,24.4,30.2,15,23.9,8.7,40.11,0,,0,,,,,29.5,171,1013.4,0,9.9,,,0,,2017-12-28T06:33:50,2017-12-28T20:54:43,0.36,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-29,32,14,24,30.6,14,23.5,10.2,46.08,0,,0,,,,,35.3,191,1012.5,0,9.7,,,0,,2017-12-29T06:34:30,2017-12-29T20:55:00,0.41,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-30,31,15,23.3,29.1,15,22.9,7.9,40.08,0,,0,,,,,31.7,185.4,1013.6,0.5,10,,,0,,2017-12-30T06:35:12,2017-12-30T20:55:15,0.45,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
santiago de chile,2017-12-31,26.1,16,20.9,26.1,16,20.9,11.6,56.29,0,,0,,,,,27.7,181.8,1013.8,56.5,10,,,0,,2017-12-31T06:35:55,2017-12-31T20:55:29,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
